Username,Trajectory,X,Y,Z
RAJ,spiral,-6.222342,1.231805,5.000572
RAJ,spiral,-6.22142,1.230458,5.010574
RAJ,spiral,-6.209563,1.225361,4.951963
RAJ,spiral,-6.214643,1.222363,4.909947
RAJ,spiral,-6.20263,1.227995,4.969023
RAJ,spiral,-6.200381,1.226656,5.009222
RAJ,spiral,-6.172377,1.2528,5.020207
RAJ,spiral,-6.228922,1.349838,5.184566
RAJ,spiral,-6.208003,1.202814,5.001374
RAJ,spiral,-6.204475,1.213226,4.943005
RAJ,spiral,-6.201334,1.210942,4.93062
RAJ,spiral,-6.207084,1.218333,4.927915
RAJ,spiral,-6.213573,1.205906,4.929488
RAJ,spiral,-6.210548,1.218296,4.921681
RAJ,spiral,-6.20318,1.222333,4.93196
RAJ,spiral,-6.195651,1.223336,4.979737
RAJ,spiral,-6.194286,1.227989,4.947983
RAJ,spiral,-6.205421,1.219652,4.962028
RAJ,spiral,-6.189017,1.23349,4.899368
RAJ,spiral,-6.197389,1.230646,4.904033
RAJ,spiral,-6.200796,1.227509,4.912766
RAJ,spiral,-6.185582,1.229917,4.897032
RAJ,spiral,-6.190666,1.227278,4.881331
RAJ,spiral,-6.198137,1.224875,4.897795
RAJ,spiral,-6.196248,1.225602,4.892137
RAJ,spiral,-6.213868,1.23456,4.927043
RAJ,spiral,-6.17318,1.224238,4.898057
RAJ,spiral,-6.176084,1.222252,4.871135
RAJ,spiral,-6.170591,1.222157,4.8859
RAJ,spiral,-6.147221,1.221597,4.830918
RAJ,spiral,-6.179777,1.220753,4.893868
RAJ,spiral,-6.157058,1.221691,4.882452
RAJ,spiral,-6.156085,1.221593,4.873331
RAJ,spiral,-6.196427,1.222258,4.918219
RAJ,spiral,-6.203731,1.223273,4.925983
RAJ,spiral,-6.208002,1.223956,4.934877
RAJ,spiral,-6.201598,1.221744,4.927937
RAJ,spiral,-6.211036,1.221499,4.931619
RAJ,spiral,-6.211837,1.223324,4.934461
RAJ,spiral,-6.212667,1.222889,4.935574
RAJ,spiral,-6.210957,1.22547,4.940877
RAJ,spiral,-6.214778,1.2262,4.944777
RAJ,spiral,-6.212827,1.229063,4.950198
RAJ,spiral,-6.217281,1.226805,4.955611
RAJ,spiral,-6.225766,1.226275,4.964878
RAJ,spiral,-6.213157,1.233936,4.950738
RAJ,spiral,-6.217758,1.238555,4.938854
RAJ,spiral,-6.225713,1.23777,4.931546
RAJ,spiral,-6.223281,1.241714,4.927098
RAJ,spiral,-6.21675,1.24081,4.931542
RAJ,spiral,-6.217964,1.235803,4.923935
RAJ,spiral,-6.227929,1.23637,4.928869
RAJ,spiral,-6.229691,1.232449,4.932311
RAJ,spiral,-6.23522,1.247023,4.929646
RAJ,spiral,-6.214668,1.233746,4.928625
RAJ,spiral,-6.214412,1.230658,4.930639
RAJ,spiral,-6.214996,1.230286,4.933908
RAJ,spiral,-6.229333,1.234304,4.948871
RAJ,spiral,-6.221445,1.234022,4.939235
RAJ,spiral,-6.225663,1.232607,4.936906
RAJ,spiral,-6.222348,1.233559,4.934701
RAJ,spiral,-6.228161,1.233546,4.931651
RAJ,spiral,-6.223261,1.23206,4.932275
RAJ,spiral,-6.224953,1.230836,4.933955
RAJ,spiral,-6.230727,1.229399,4.930837
RAJ,spiral,-6.227801,1.224484,4.942541
RAJ,spiral,-6.236594,1.218864,4.954295
RAJ,spiral,-6.240424,1.216656,4.965136
RAJ,spiral,-6.220802,1.222638,4.956213
RAJ,spiral,-6.200894,1.22294,4.964561
RAJ,spiral,-6.227975,1.216318,4.963509
RAJ,spiral,-6.222357,1.22999,4.907597
RAJ,spiral,-6.211267,1.220399,4.948665
RAJ,spiral,-6.249165,1.217379,4.930058
RAJ,spiral,-6.229726,1.21894,4.943962
RAJ,spiral,-6.230091,1.215294,4.964276
RAJ,spiral,-6.217793,1.221748,4.944242
RAJ,spiral,-6.207872,1.224059,4.957987
RAJ,spiral,-6.210513,1.226438,4.941264
RAJ,spiral,-6.207569,1.227258,4.948913
RAJ,spiral,-6.202044,1.226283,4.955916
RAJ,spiral,-6.209311,1.22553,4.94718
RAJ,spiral,-6.209005,1.225677,4.944798
RAJ,spiral,-6.215873,1.224166,4.95522
RAJ,spiral,-6.221449,1.22166,4.952112
RAJ,spiral,-6.213121,1.223935,4.963621
RAJ,spiral,-6.212809,1.224098,4.950372
RAJ,spiral,-6.214028,1.223402,4.939411
RAJ,spiral,-6.219416,1.224597,4.943277
RAJ,spiral,-6.211528,1.227501,4.937478
RAJ,spiral,-6.210462,1.226926,4.93574
RAJ,spiral,-6.216771,1.226615,4.936514
RAJ,spiral,-6.214125,1.226127,4.929591
RAJ,spiral,-6.209468,1.226819,4.933481
RAJ,spiral,-6.20689,1.229969,4.944532
RAJ,spiral,-6.208914,1.228336,4.942851
RAJ,spiral,-6.204793,1.23115,4.946173
RAJ,spiral,-6.20478,1.230153,4.946345
RAJ,spiral,-6.198458,1.231542,4.947331
RAJ,spiral,-6.164005,1.251577,4.989391
RAJ,spiral,-6.209944,1.226446,4.93346
RAJ,spiral,-6.210302,1.226466,4.929383
RAJ,spiral,-6.214312,1.226655,4.933139
RAJ,spiral,-6.208403,1.230472,4.942805
RAJ,spiral,-6.216038,1.228823,4.93794
RAJ,spiral,-6.198359,1.232788,4.944002
RAJ,spiral,-6.212123,1.226098,4.927806
RAJ,spiral,-6.213135,1.226309,4.924949
RAJ,spiral,-6.209477,1.227963,4.924828
RAJ,spiral,-6.209306,1.228197,4.929624
RAJ,spiral,-6.211183,1.226407,4.926448
RAJ,spiral,-6.211522,1.22545,4.927778
RAJ,spiral,-6.217777,1.222561,4.923192
RAJ,spiral,-6.253184,1.207437,4.884693
RAJ,spiral,-6.237552,1.216095,4.908785
RAJ,spiral,-6.236456,1.216198,4.90701
RAJ,spiral,-6.237794,1.216106,4.902595
RAJ,spiral,-6.230681,1.216482,4.906368
RAJ,spiral,-6.231233,1.213956,4.900599
RAJ,spiral,-6.234445,1.214447,4.910909
RAJ,spiral,-6.225296,1.219357,4.929605
RAJ,spiral,-6.153375,1.260184,4.979551
RAJ,spiral,-6.161776,1.259618,4.975034
RAJ,spiral,-6.180011,1.25102,4.966813
RAJ,spiral,-6.211297,1.228477,4.938609
RAJ,spiral,-6.212544,1.225701,4.934063
RAJ,spiral,-6.206367,1.231053,4.941669
RAJ,spiral,-6.186929,1.245208,4.955732
RAJ,spiral,-6.18808,1.245275,4.953856
RAJ,spiral,-6.179833,1.249378,4.954299
RAJ,spiral,-6.186765,1.243293,4.950314
RAJ,spiral,-6.202976,1.233945,4.942483
RAJ,spiral,-6.202992,1.233406,4.937973
RAJ,spiral,-6.239516,1.198332,4.895873
RAJ,spiral,-6.284053,1.165411,4.839586
